ID,Name,Concepticon_ID,Concepticon_Gloss
1_i,I,,
2_you,you,,
3_we,we,,
4_this,this,,
5_that,that,,
6_who,who,,
7_what,what,,
8_not,not,,
9_all,all,,
10_many,many,,
11_one,one,,
12_two,two,,
13_big,big,,
14_long,long,,
15_small,small,,
16_woman,woman,,
17_man,man,,
18_person,person,,
19_fish,fish,,
20_bird,bird,,
21_dog,dog,,
22_louse,louse,,
23_tree,tree,,
24_seed,seed,,
25_leaf,leaf,,
26_root,root,,
28_skin,skin,,
29_flesh,flesh,,
30_blood,blood,,
31_bone,bone,,
32_grease,grease,,
33_egg,egg,,
34_horn,horn,,
35_tail,tail,,
36_feather,feather,,
37_hair,hair,,
38_head,head,,
39_ear,ear,,
40_eye,eye,,
41_nose,nose,,
42_mouth,mouth,,
43_tooth,tooth,,
44_tongue,tongue,,
45_claw,claw,,
46_foot,foot,,
47_knee,knee,,
48_hand,hand,,
49_belly,belly,,
50_neck,neck,,
51_breast,breast,,
52_heart,heart,,
53_liver,liver,,
54_drink,drink,,
55_eat,eat,,
56_bite,bite,,
57_see,see,,
58_hear,hear,,
59_know,know,,
60_sleep,sleep,,
61_die,die,,
62_kill,kill,,
63_swim,swim,,
64_fly,fly,,
65_walk,walk,,
66_come,come,,
68_sit,sit,,
69_stand,stand,,
70_give,give,,
71_say,say,,
72_sun,sun,,
73_moon,moon,,
74_star,star,,
75_water,water,,
76_rain,rain,,
77_stone,stone,,
78_sand,sand,,
79_earth,earth,,
80_cloud,cloud,,
81_smoke,smoke,,
82_fire,fire,,
83_ashes,ashes,,
84_burn,burn,,
85_path,path,,
86_mountain,mountain,,
87_red,red,,
88_green,green,,
89_yellow,yellow,,
90_white,white,,
91_black,black,,
92_night,night,,
93_warm,warm,,
93b_hot,hot,,
94_cold,cold,,
95_full,full,,
96_new,new,,
97_good,good,,
98_round,round,,
99_dry,dry,,
100_name,name,,
